,Ticket number,Issue Date,Issue time,Meter Id,Marked Time,RP State Plate,Plate Expiry Date,VIN,Make,Body Style,Color,Location,Route,Agency,Violation code,Violation Description,Fine amount,Latitude,Longitude
3673031,4290563130,2016-08-27T00:00:00,938.0,SG28,,CA,201706.0,,ALFA,PA,BK,1501 SIERRA BONITA AV N,00470,54.0,88.13B+,METER EXP.,63.0,6454518.0,1858245.8
8459383,4343252373,2018-11-16T00:00:00,1159.0,,,CA,201812.0,,TOYT,PA,BK,239 15TH ST W,00677,56.0,80.56E2,YELLOW ZONE,58.0,6481417.925194,1835556.142118
3277110,4271899236,2015-12-01T00:00:00,1127.0,,,CA,201510.0,,BMW,PA,SL,1800 SAWTELLE BL,00903,51.0,5204A-,DISPLAY OF TABS,25.0,6426495.1,1838663.0
5567559,4311425053,2017-06-27T00:00:00,1126.0,CB1587,,CA,201803.0,,TOYT,PA,BK,1125 MAPLE AVE S,00600,56.0,88.13B+,METER EXP.,63.0,6484281.681059,1835863.218102
4604445,4301426883,2017-01-24T00:00:00,2223.0,,,CA,201705.0,,DODG,PA,GY,13800 BEAVER ST,00317,53.0,22500H,DOUBLE PARKING,68.0,6430597.159337998,1934392.525134
2264165,4261171913,2015-06-15T00:00:00,1327.0,,,CA,201511.0,,FRHT,TK,BN,770 WILSHIRE BLVD,00657,56.0,80.56E1,WHITE ZONE,58.0,6483563.2,1840372.0
4077042,4295877880,2016-10-24T00:00:00,754.0,,,CA,201706.0,,HOND,PA,WT,1701 POMEROY AVE,00631,56.0,80.56E4+,RED ZONE,93.0,6497021.863866,1843432.211128
2837069,4265958071,2015-09-15T00:00:00,1008.0,,,CA,201504.0,,CHEV,PA,GO,17621 RINALDI ST,00328,53.0,5200,DISPLAY OF PLATES,25.0,99999.0,99999.0
7263617,4329323681,2018-04-09T00:00:00,654.0,,,CA,201812.0,,BMW,PA,SL,12215 BURBANK BLVD,00315,53.0,80.56E1,WHITE ZONE,58.0,6440815.252888,1885266.711748
1227305,4287692986,2016-07-18T00:00:00,1033.0,,,NJ,201508.0,,FORD,PA,GY,5183 WEST 20TH STREET,00149,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6454463.2,1837231.0
829032,4282876290,2016-05-12T00:00:00,1126.0,V6124,,NY,201703.0,,TOYT,PA,WT,40 WINDWARD AVE E,906R,51.0,88.13B+,METER EXP.,63.0,6418282.3,1818074.8
8162545,4340026331,2018-09-20T00:00:00,200.0,,,CA,201810.0,,TOYT,PA,GY,4204 EDGEHILL DR,00500,55.0,80.56E4+,RED ZONE,93.0,6461518.19281,1825565.416108
1657893,4254572265,2015-03-05T00:00:00,1220.0,,,CA,201509.0,,NISS,PA,GY,6514 POLLARD ST,00676,56.0,80.69BS,NO PARK/STREET CLEAN,73.0,6508158.7,1865833.1
2771163,4265239974,2015-09-04T00:00:00,127.0,,,NV,201510.0,,CHEV,PA,BK,2302 PACIFIC AVE,00112,51.0,80.56E4+,RED ZONE,93.0,6419420.2,1816870.3
568320,4279852614,2016-03-31T00:00:00,1940.0,,,IN,,,MITS,PA,BK,2648 DESMOND ESTATES ROAD,00401,54.0,80.69B,NO PARKING,73.0,6454518.4,1865845.6
